Tools,Vulnerability name,access_control,arithmetic,denial_service,reentrancy,unchecked_low_calls,bad_randomness,front_running,time_manipulation,short_addresses,Other,Ignore
vulhunter,array-instead-bytes,,,,,,,,,,,True
vulhunter,unused-state,,,,,,,,,,,True
vulhunter,costly-operations-loop,,,,,,,,,,,True
vulhunter,send-transfer,,,,,,,,,,,True
vulhunter,boolean-equal,,,,,,,,,,,True
vulhunter,external-function,,,,,,,,,,,True
mando-hgt,arithmetic,,True,,,,,,,,,
mando-hgt,reentrancy,,,,True,,,,,,,
mando-hgt,access_control,True,,,,,,,,,,
mando-hgt,denial_of_service,,,True,,,,,,,,
mando-hgt,front_running,,,,,,,True,,,,
mando-hgt,time_manipulation,,,,,,,,True,,,
mando-hgt,unchecked_low_level_calls,,,,,True,,,,,,
